73818943348805157,13292,15994,2971,450994
73819217824056724,12954,18019,1504,421858
73889242970881358,13369,15804,1464,2582888
74029156026848514,14794,9572,2347,262652
74029156093955943,14832,9441,2433,1956276
74029156228148549,14691,9549,3081,1863162
74029637197389577,14657,12966,2739,2163235
74029911941105734,14750,15128,2314,3153615
74169756210440560,15772,8584,2562,1615120
74169756210443886,15656,8675,2629,1534952
74169825198351044,15852,9152,3718,585308
74169893649460576,15551,9498,2709,1923073
74169893783609803,15386,9290,3235,2092006
74169962234647268,15515,10239,2154,1940141
74169962435980568,15637,9802,3010,2256975
74169962436001863,15589,10186,3066,1914711
74170030819912748,15649,10345,1832,2019825
74170099673622165,15555,11113,2392,2288510
74310355924287574,16776,7319,1403,2034157
74310562485410206,16648,8801,3076,1937853
74310631003557602,16847,9485,2275,1985007
74310699790138396,16784,10139,2482,200075
74310837229087079,16699,10815,2394,2223918
74310837430388813,16467,11071,3130,328795
74380862308783364,17029,8541,2332,1977683
74380999747729095,17246,9257,2169,2169508
74380999747730266,17257,9371,2272,1807999
74380999814811578,17192,9474,2538,288727
74381137052454230,17192,10572,1817,2896004
74381137119560538,17162,10434,2032,403666
72693249331978542,4944,17870,2028,1739459
72904218058478402,6378,16437,1836,1750095
73185555864618701,8505,15723,2645,1647135
73256061712207371,9182,16610,1381,1179434
73326224365072369,9678,15092,1614,2187733
73326224499318412,9419,14854,2357,43726
73326224566390572,9622,14904,2431,322499
73326293420108137,9240,15500,3083,16571
73326293487203505,9288,15741,3240,1831240
73326362139562089,9407,16054,2960,3285
73326430657759768,9388,16792,2352,2355246
73326499444307057,9282,17211,2472,1348728
73396799468995297,10191,16798,2440,10583
73467236798431694,10449,17224,1799,2626138
73537330933156664,10825,15377,3123,2373018
73889105800371241,13278,14646,2549,2072152
74170374752857238,15654,13032,3007,26350
74240743564133077,16130,13304,3242,2838531
74451987302716110,17682,14280,3411,3324947
